event_id,cumulative_total_tokens,reported_last_total_tokens,observed_delta_total_tokens,cumulative_input,reported_last_input,observed_delta_input,cumulative_cached_input,reported_last_cached_input,observed_delta_cached_input,cumulative_cache_write_input,reported_last_cache_write_input,observed_delta_cache_write_input,cumulative_output,reported_last_output,observed_delta_output,cumulative_reasoning_output,reported_last_reasoning_output,observed_delta_reasoning_output
545,7847059,75818,75818,7791318,75534,75534,7498880,73344,73344,0,0,0,55741,284,284,20171,67,67
555,7923519,76460,76460,7867519,76201,76201,7574272,75392,75392,0,0,0,56000,259,259,20208,37,37
570,8003127,79608,79608,7944976,77457,77457,7650304,76032,76032,0,0,0,58151,2151,2151,22178,1970,1970
577,8091252,88125,88125,8032964,87988,87988,7727616,77312,77312,0,0,0,58288,137,137,22207,29,29
585,8184044,92792,92792,8125019,92055,92055,7815424,87808,87808,0,0,0,59025,737,737,22723,516,516
594,8285597,101553,101553,8223807,98788,98788,7907328,91904,91904,0,0,0,61790,2765,2765,22780,57,57
603,8387779,102182,102182,8325384,101577,101577,8005888,98560,98560,0,0,0,62395,605,605,23094,314,314
610,8492509,104730,104730,8429950,104566,104566,8107264,101376,101376,0,0,0,62559,164,164,23103,9,9
618,8603829,111320,111320,8540742,110792,110792,8211712,104448,104448,0,0,0,63087,528,528,23412,309,309
625,8717369,113540,113540,8654237,113495,113495,8322304,110592,110592,0,0,0,63132,45,45,23420,8,8
632,8835239,117870,117870,8769887,115650,115650,8435584,113280,113280,0,0,0,65352,2220,2220,23485,65,65
641,8954633,119394,119394,8887781,117894,117894,8550656,115072,115072,0,0,0,66852,1500,1500,24067,582,582
648,9074455,119822,119822,9007234,119453,119453,8668416,117760,117760,0,0,0,67221,369,369,24144,77,77
660,9196029,121574,121574,9127613,120379,120379,8787712,119296,119296,0,0,0,68416,1195,1195,24582,438,438
667,9318155,122126,122126,9249252,121639,121639,8907904,120192,120192,0,0,0,68903,487,487,24910,328,328
675,9442565,124410,124410,9371862,122610,122610,9029376,121472,121472,0,0,0,70703,1800,1800,25029,119,119
683,9569141,126576,126576,9496296,124434,124434,9151872,122496,122496,0,0,0,72845,2142,2142,25244,215,215
690,9696734,127593,127593,9623681,127385,127385,9276160,124288,124288,0,0,0,73053,208,208,25329,85,85
700,9825839,129105,129105,9751568,127887,127887,9403392,127232,127232,0,0,0,74271,1218,1218,25541,212,212
706,9955465,129626,129626,9880984,129416,129416,9531136,127744,127744,0,0,0,74481,210,210,25680,139,139
720,10086700,131235,131235,10011880,130896,130896,9660416,129280,129280,0,0,0,74820,339,339,25827,147,147
734,10223588,136888,136888,10146500,134620,134620,9791232,130816,130816,0,0,0,77088,2268,2268,27897,2070,2070
742,10371471,147883,147883,10293998,147498,147498,9925760,134528,134528,0,0,0,77473,385,385,28065,168,168
753,10526828,155357,155357,10448554,154556,154556,10073088,147328,147328,0,0,0,78274,801,801,28702,637,637
760,10686649,159821,159821,10606159,157605,157605,10227456,154368,154368,0,0,0,80490,2216,2216,29005,303,303
769,10847243,160594,160594,10766039,159880,159880,10384896,157440,157440,0,0,0,81204,714,714,29473,468,468
783,11013894,166651,166651,10930303,164264,164264,10544640,159744,159744,0,0,0,83591,2387,2387,30681,1208,1208
791,11184756,170862,170862,11100661,170358,170358,10708736,164096,164096,0,0,0,84095,504,504,31051,370,370
822,11365537,180781,180781,11274691,174030,174030,10878976,170240,170240,0,0,0,90846,6751,6751,37454,6403,6403
837,11558697,193160,193160,11463048,188357,188357,11052928,173952,173952,0,0,0,95649,4803,4803,39202,1748,1748
846,11753796,195099,195099,11656232,193184,193184,11241088,188160,188160,0,0,0,97564,1915,1915,40236,1034,1034
855,11949191,195395,195395,11851388,195156,195156,11434112,193024,193024,0,0,0,97803,239,239,40276,40,40
863,12153662,204471,204471,12055396,204008,204008,11629184,195072,195072,0,0,0,98266,463,463,40458,182,182
873,12359538,205876,205876,12260033,204637,204637,11833088,203904,203904,0,0,0,99505,1239,1239,40974,516,516
881,12569391,209853,209853,12468204,208171,208171,12037632,204544,204544,0,0,0,101187,1682,1682,41489,515,515
890,12780381,210990,210990,12678208,210004,210004,12245760,208128,208128,0,0,0,102173,986,986,42296,807,807
905,12997344,216963,216963,12890532,212324,212324,12455680,209920,209920,0,0,0,106812,4639,4639,44287,1991,1991
914,13217471,220127,220127,13107618,217086,217086,12503168,47488,47488,0,0,0,109853,3041,3041,45321,1034,1034
922,13438331,220860,220860,13328259,220641,220641,12720128,216960,216960,0,0,0,110072,219,219,45382,61,61
930,13663258,224927,224927,13550666,222407,222407,12940672,220544,220544,0,0,0,112592,2520,2520,45719,337,337
936,13888931,225673,225673,13776030,225364,225364,13163008,222336,222336,0,0,0,112901,309,309,45943,224,224
950,14116684,227753,227753,14002973,226943,226943,13388288,225280,225280,0,0,0,113711,810,810,46459,516,516
964,14356658,239974,239974,14240900,237927,237927,13615104,226816,226816,0,0,0,115758,2047,2047,48290,1831,1831
970,14356658,14337,0,14240900,0,0,13615104,0,0,0,0,0,115758,0,0,48290,0,0
981,14378745,22087,22087,14262765,21865,21865,13627008,11904,11904,0,0,0,115980,222,222,48339,49,49
990,14404147,25402,25402,14287879,25114,25114,13648640,21632,21632,0,0,0,116268,288,288,48366,27,27
1003,14441734,37587,37587,14324279,36400,36400,13673600,24960,24960,0,0,0,117455,1187,1187,49150,784,784
1012,14485348,43614,43614,14367303,43024,43024,13709824,36224,36224,0,0,0,118045,590,590,49513,363,363
