NAME 3x2^10.2^3.L3(2)
NAME 3x2^10.2^4.S5
NAME 3x2^(5+8):(S3xS4)
NAME 3x(2x2^(1+8)_+).2.2^4.(S3xS3)
NAME 3x2^10.2^3.S4
NAME 3x2^10.2^2.2^2.S4
NAME 3x2^(5+8):(S3xD8)
NAME 3x2^(5+8):(2xS4)
NAME 3xFi22N2
NAME 3x5:4xS5
NAME 6x5:4xS5
NAME 3xFi22N5
NAME 3xS3x7:6
NAME 6xS3x7:6
NAME 6x11:5
NAME 2x6x11:5
NAME 2x3.Fi22N3
NAME 2xFi22N5
NAME 6xFi22N5
NAME 3x5^2:(4xS3)
NAME 3x2.J2.2N5
NAME D8xS6(2)
NAME NDG(He.2,3^2)
NAME NDG(HN,3^2)
NAME NDG(HN.2,3^2)
NAME HNN3
NAME HN.2N3
NAME 3^4.(3xSL(2,3)).2
NAME HNN5
NAME NDG(J4,3^2)
NAME (3^(1+2):2^2xG2(3)):2
NAME (3^2:2x13:6).2
NAME (D10xA9).2
NAME MN5
NAME (11:5xM12):2
NAME 2F4(2)'N2
NAME 2F4(2)'.2N2
NAME 2^(3+1+3).L3(2)
NAME 2^(2+2+4).(S3xS3)
NAME NRS(M24,2^(2+2+4)a)
NAME NRS(M24,2^(4+4))
NAME [2^9].S3a
NAME NRS(M24,[2^9]a)
NAME [2^9].S3b
NAME NRS(M24,[2^9]b)
NAME L3(2)xS3
NAME 3x2^(1+4)_-:A5
NAME 3x2^(2+4):(3xS3)
NAME 3x11:5
NAME 6x7:3
NAME G2(3).2N2
NAME 3^2.(3x3^(1+2)+):2^2
NAME 3^3.(3x3^(1+2)+):2^2
NAME U3(5).2N2
NAME (D10xU3(5)N2).2
NAME 5:4xU3(5).2N2
NAME 2^(1+8)_+.(2xA5)
NAME 2^(1+8)_+.(A4xA5)
NAME 2^(1+8)_+.(A4xA4).2
NAME (D8xA6).2^2
NAME (7:3xA5):2
NAME 2^(2+1+2+4+2).(3xS4)
NAME D8xU3(3).2
NAME (Q16xU3(3)).2
NAME 3x4^2:D12
NAME 3xM12N2
NAME 3x7:6
NAME 3x13:6
NAME 6x13:6
NAME S3x13:6
NAME 5:4xS7
NAME S3xA5
NAME G2(4)N2
NAME 3^(1+2):8:4
NAME S3x2.A5
NAME 2.A5.2xS3
NAME 2.D10xA5
NAME (7:3x3):4
NAME 2.M12N5
NAME 7:12
NAME NRS(M22,[2^6])
NAME 2^(2+8):(3xA5):2
NAME 2^(4+6):(A5x3):2
NAME 2.HSN3A
NAME 2^3.(2x2^3.L3(2))
NAME (7:3xL2(7)):2
NAME F4(2)N7B
NAME 3x19:9
NAME 3x17:8
NAME 3xD6xD10
NAME 3x2^3.S4v1
NAME 3xNRS(M22,[2^6])
NAME 2.2^3.2^5.S3
NAME (2^2x4).2^5.S3
NAME 2.2^4.2^4.S3
NAME (2x4^2).2^4.S3
NAME 2.2^(4+6).2.S3
NAME S3xU4(2).2
NAME 3^4.A6.D8
NAME (Q8xD14):3
NAME (Q8x13:4):3
NAME 5:4xS5x2
NAME 2^5.2^4.L4(2)
NAME (2^5.2^6)a.(S3xL3(2))
NAME (2^5.2^6)b.(L3(2)xS3)
NAME 2^5.2^6.(2xL3(2))
NAME (2^5.2^6.2^2)a.S3^2
NAME (2^5.2^6.2^2)b.S3^2
NAME 2^5.2^6.D8.S3
NAME (2^(1+8).2^3)a.L3(2)
NAME (2^(1+8).2^3)b.L3(2)
NAME 2^(1+8).2^4.S3^2
NAME 2^(1+8).2^4.2.S3
NAME 2^(1+8).2^3.2^2.S3
NAME 2^(1+8).2^(1+4).S3
NAME 2^(1+8).2^2.(3xA5).2
NAME 2^(1+8).2^2.S3^2
NAME 2^(1+8).D8.S3
NAME (D10xA6).2
NAME 5:8
NAME (2.D10xA6).2
NAME 2x3^5:(3^2:SD16)
NAME 31:6
NAME 11:5xS3
NAME (SL2(3)x7:3).2
NAME 3^5.3^3.(2xS4)
NAME (3^(1+6).3)a.2.S4
NAME (3^(1+6).3)b.2.S4
NAME 3^5.3^(1+2).2.S4
NAME (3^2:4xD10).2
NAME (3^2:D8xD10).2
NAME S4x3^2:4
NAME S4x3^(1+2):4
NAME (3^(1+2):4xD10).2
NAME 3x7^(1+2):(D8x3)
NAME 3x19:6
NAME 3x31:15
NAME 2.(S4xS5)
NAME 2.D8.S5
NAME (2^(1+4)x3).GO+(4,2)
NAME 2^(1+4).S3^2
NAME 2.(D8x2^2).S3
NAME 2.2^4.2.S3
NAME (4x2^2).2^4.S3
NAME (4^2x2).2^3.S3
NAME 2^(1+6)_-.2^4.A5
NAME 2^(4+6).2^2.(3xS3)
NAME 2^(2+8).2^2.(3xS3)
NAME (A4x7:3):2
NAME S4x3^2:Q8
NAME 11:20
NAME (SL(2,3)x7:3).2
NAME 3x(A5xD10).2
NAME (D10x3.A6).2_3
NAME 3x(A4x7:3):2
NAME 3x11:10
NAME S4x3^(1+2)_+:Q8
NAME D8x3^(1+2)_+:Q8
NAME 2.(D8x3^2:Q8)
NAME 3x2^(1+6)_-.2^4.A5
NAME 3x2^(2+8).2^2.(3xS3)
NAME 3x2^(4+6).2^2.(3xS3)
NAME 3xSuzN2
NAME (2.D10x3.A6).2_3
NAME 3x(SL(2,3)x7:3).2
NAME 3x11:20
NAME 3x(2x13).6
NAME 3x(2.A5xD10).2
NAME 2^(1+8)_+.2^5.S4(2)
NAME 2^3.(2x2^(1+3+3+3).L3(2))
NAME 2^(1+1+3+3).(2x2^(3+3).L3(2))
NAME 2^(1+1+2+4).(2x2^(2+4).S3^2)
NAME 2^10.2^3.2^3.S3
NAME 2^(1+8)_+.2^3.2^2.2^3.S3
NAME 2^(1+8)_+.2^2.2^2.2^4.S3
NAME 2^(1+8)_+.2^3.2^5.S3
NAME 3xD10
NAME 2.SuzN2
NAME 2.G2(4)N2
NAME 3.3^5:(3^2:SD16)
NAME 3x2.SuzN2
NAME 2x3.3^5:(3^2:SD16)
NAME 2.(D8x3^(1+2)_+:Q8)
NAME 2.Fi22N2
NAME 3x2.Fi22N2
NAME (2^2x11:5).2
NAME 2^5:A6
NAME 3^4:S6
NAME 3^4:3^2:D8
NAME S3x5:4
NAME 3^3:(S3x2)
NAME 3^3:S3
NAME 2^4:A4
NAME 2x7:6
NAME 5:4xS4
NAME (3x2.D10).2
NAME 2.A8N3
NAME S6(2)N2
NAME 2x3^3:S3
NAME 2.U4(2)N2
NAME 2.(S3x5:4)
NAME 2x3^3:(S3x2)
NAME 2^6:S4a
NAME 2^6:S4b
NAME 2.[2^6].(2xS3)
NAME 3x2.D10
NAME (D10x2^3.L3(2)).2
NAME 7:3xS5
NAME 31:10
NAME 23:22
NAME 11:10xS3
NAME (7:3xA7):2
NAME (13:6xA4).2
NAME 5^3:(4x(2xA5).2)
NAME (D10xJ2).2
NAME 2^4:A4b
NAME 3^4.3^2:4
NAME 2^(4+8).(2xA4)
NAME 2^9.2^4.A5a
NAME 2^9.2^4.A5b
NAME 2^(4+8):(A4xS3)
NAME S6xD8
NAME (2^4:A4xA4).2
NAME (2x2^(1+8)_+).O8+(2)
NAME 2.2^(2+12):(A8xS3)
NAME 2.(A5wr2)
NAME (D10x2.(A5xA5).2).2
NAME (11:5xD12).2
NAME 2.(13:6xA4).2
NAME (7:3x2.A7):2
NAME 2.(D10xJ2).2
NAME 2x(7:3xL2(7)):2
NAME (7:3x2.L3(4).2).2
NAME (3^(1+2):8x2.A6).2
NAME 3^6:L4(3):2_2
NAME 3^(3+6):(L3(3)x2)
NAME 2^(1+6).3^(1+2).2S4
NAME L3(3)x2
NAME (3xSL(2,3)):2
NAME S3x(3xSL(2,3)):2
NAME 2^(1+4)_+.(S3x3^2:2)
NAME A7xS3
NAME D8xS3
NAME 2.2^4.(S3x3^2:2)
NAME 2.2^(4+12).(S3x3S6)
NAME 2x3^(1+4).2U4(2).2
NAME 3^(3+4):(2.S4)^2
NAME (2.A7xL2(7)).2
NAME (2.A6xU3(3)).2
NAME (2.A4x2.G2(4)).2
NAME 2.(A4xG2(4)).2
NAME (2.A5x2.J2).2
NAME 2.(A5xJ2).2
NAME 2(S4xS4)
NAME S3x2.S4
NAME 2^6:S7
NAME S4xU3(3).2
NAME A8xS3
NAME 2x2.M12
NAME 2x2.A4xS3
NAME 2^2x3^2.2.S4
NAME 2.S4x2.S4
NAME 2x2.U4(2).2
NAME 2x2.(3^3:(S4x2))
NAME 2xS3x2.S4
NAME S3x3.S6
NAME 2x3.S6
NAME (D10xD10).2^2
NAME (3x3^3:S3):2
NAME (3x3^(1+2)+:2A4).2
NAME 2^12.(S3x3S6)
NAME 2^12.(2^2xD8)
NAME 2^(3+3+3).L3(2)
NAME NRS(O8+(2),2^(3+3+3)_a)
NAME NRS(O8+(2),2^(3+3+3)_b)
NAME O8+(2)N2
NAME 5:4xS6
NAME E6(2)
NAME F4(3)
NAME 2.Fi22
NAME 2.Fi22.2
NAME Isoclinic(2.Fi22.2)
NAME 3.Fi22
NAME 3.Fi22.2
NAME 6.Fi22
NAME 6.Fi22.2
NAME Isoclinic(6.Fi22.2)
NAME Fi22
NAME Fi22.2
NAME 3.F3+
NAME 3.F3+.2
NAME F3+
NAME F3+.2
NAME Fi23
NAME P1/G1/L1/V1/ext2
NAME P1/G1/L1/V1/ext3
NAME P1/G1/L1/V1/ext4
NAME P1/G1/L1/V1/ext5
NAME P1/G1/L1/V1/ext6
NAME P1/G1/L1/V2/ext3
NAME P1/G1/L1/V2/ext6
NAME P1/G2/L1/V1/ext2
NAME P1/G2/L1/V1/ext3
NAME P1/G2/L1/V1/ext4
NAME P1/G2/L1/V2/ext2
NAME P1/G2/L1/V2/ext4
NAME P1/G2/L2/V2/ext2
NAME P1/G2/L2/V2/ext4
NAME P1/G3/L2/V1/ext2
NAME P1/G3/L2/V1/ext3
NAME P11/G1/L1/V1/ext2
NAME P11/G1/L1/V1/ext3
NAME P11/G1/L1/V1/ext4
NAME P11/G1/L1/V2/ext2
NAME P11/G1/L1/V2/ext4
NAME P11/G1/L1/V3/ext2
NAME P11/G1/L1/V3/ext4
NAME P11/G2/L1/V1/ext2
NAME P11/G2/L1/V1/ext3
NAME P11/G2/L1/V2/ext2
NAME P11/G3/L1/V1/ext2
NAME P11/G3/L1/V1/ext3
NAME P11/G3/L1/V2/ext3
NAME P11/G3/L3/V1/ext2
NAME P11/G3/L3/V2/ext3
NAME P11/G3/L4/V2/ext2
NAME P11/G3/L4/V2/ext3
NAME P11/G3/L4/V3/ext2
NAME P11/G4/L1/V1/ext2
NAME P11/G4/L1/V1/ext3
NAME P12/G1/L2/V1/ext2
NAME P12/G1/L2/V1/ext3
NAME P13/G1/L2/V1/ext2
NAME P13/G1/L2/V1/ext3
NAME P13/G1/L6/V1/ext2
NAME P2/G1/L1/V1/ext2
NAME P2/G1/L1/V1/ext3
NAME P2/G2/L1/V1/ext2
NAME P2/G2/L1/V1/ext3
NAME P2/G2/L1/V2/ext2
NAME P21/G1/L1/V1/ext2
NAME P21/G1/L1/V1/ext3
NAME P21/G1/L1/V1/ext4
NAME P21/G1/L3/V2/ext3
NAME P21/G2/L1/V1/ext2
NAME P21/G2/L1/V2/ext2
NAME P21/G2/L1/V3/ext2
NAME P21/G2/L2/V1/ext2
NAME P21/G2/L2/V2/ext2
NAME P21/G2/L2/V3/ext2
NAME P21/G2/L5/V2/ext2
NAME P21/G3/L2/V1/ext2
NAME P21/G3/L5/V1/ext2
NAME P27/G1/L1/V1/ext2
NAME P27/G1/L1/V1/ext3
NAME P27/G1/L1/V1/ext4
NAME P31/G1/L1/V1/ext2
NAME P31/G1/L1/V1/ext3
NAME P41/G1/L1/V1/ext2
NAME P41/G1/L1/V1/ext3
NAME P41/G1/L1/V2/ext2
NAME P41/G1/L1/V3/ext3
NAME P41/G1/L1/V4/ext2
NAME P41/G1/L1/V4/ext3
NAME P41/G2/L1/V1/ext2
NAME P41/G2/L1/V1/ext3
NAME P43/G1/L1/V1/ext2
NAME P43/G2/L1/V1/ext2
NAME P43/G3/L1/V1/ext2
NAME P43/G3/L1/V2/ext2
NAME P48/G1/L1/V1/ext2
NAME P48/G1/L1/V2/ext2
NAME P49/G1/L1/V1/ext2
NAME P49/G1/L1/V1/ext3
NAME P49/G1/L1/V2/ext3
NAME P50/G1/L1/V1/ext2
NAME P50/G1/L1/V1/ext3
NAME P50/G1/L1/V1/ext4
NAME S3
NAME 2.S3
NAME Symm(4)
NAME 2.Symm(4)
NAME D8
NAME 2.D8
NAME D10
NAME 7:3
NAME 2x7:3
NAME C2
NAME C3
NAME C4
NAME C6
NAME 3^2:2
NAME 3^(1+2)_+:2
NAME 3^2:4
NAME 2^3.S3
NAME 2^3.D8
NAME 2^3.S4v1
NAME 2^3.S4v2
NAME 2xSymm(4)
NAME D8x2
NAME 2^2:S4
NAME (A4x3):2
NAME S3x2
NAME (A5x3):2
NAME 2^4:(3x3):2
NAME 2^3:7
NAME 2^3
NAME S3xS3
NAME 3^(1+2):4
NAME 4^2:3
NAME 3^2
NAME 3^(1+2)_+
NAME 2.2^4:3
NAME 2.L2(11)
NAME 2.L2(11).2
NAME Isoclinic(2.L2(11).2)
NAME 2.L2(13)
NAME 2.L2(13).2
NAME Isoclinic(2.L2(13).2)
NAME 2.L2(17)
NAME 2.L2(17).2
NAME Isoclinic(2.L2(17).2)
NAME 2.L2(19)
NAME 2.L2(19).2
NAME Isoclinic(2.L2(19).2)
NAME 2.L2(23)
NAME 2.L2(23).2
NAME Isoclinic(2.L2(23).2)
NAME 2.L2(25)
NAME 2.L2(25).2_1
NAME Isoclinic(2.L2(25).2_1)
NAME 2.L2(25).2_2
NAME Isoclinic(2.L2(25)x2)
NAME Isoclinic(L2(25).2_3x2)
NAME 4.L2(25).2_3
NAME 2.L2(27)
NAME 2.L2(27).2
NAME Isoclinic(2.L2(27).2)
NAME 2.L2(27).3
NAME 2.L2(27).6
NAME Isoclinic(2.L2(27).6)
NAME 2.L2(29)
NAME 2.L2(29).2
NAME Isoclinic(2.L2(29).2)
NAME 2.L2(31)
NAME 2.L2(31).2
NAME Isoclinic(2.L2(31).2)
NAME J3M3
