     ● G  GAP 4.16.1 of 2026-08-23
  ● ●  A  https://www.gap-system.org
     ● P  Architecture: x86_64-pc-linux-gnu-default64-kv11
 Configuration:  gmp 6.3.0, GASMAN, readline
 Loading the library and packages ...
 Packages:   AClib 1.4, Alnuth 4.0.2, AtlasRep 2.1.12, AutoDoc 2026.06.30, 
             AutPGrp 1.12.0, Browse 1.8.23, CaratInterface 2.3.11, 
             CRISP 1.4.11, Cryst 4.1.32, CrystCat 1.1.13, CTblLib 1.3.11, 
GROUP n=4 d=1 k=68 order=128 cyclic=false affine_classes=59 ms=60
GROUP n=4 d=1 k=69 order=128 cyclic=false affine_classes=59 ms=53
GROUP n=4 d=1 k=70 order=128 cyclic=false affine_classes=59 ms=66
GROUP n=4 d=1 k=71 order=128 cyclic=false affine_classes=74 ms=60
GROUP n=4 d=1 k=72 order=128 cyclic=false affine_classes=56 ms=61
GROUP n=4 d=1 k=73 order=128 cyclic=false affine_classes=56 ms=61
GROUP n=4 d=1 k=74 order=128 cyclic=false affine_classes=50 ms=63
GROUP n=4 d=1 k=75 order=256 cyclic=false affine_classes=88 ms=78
GROUP n=4 d=1 k=76 order=256 cyclic=false affine_classes=85 ms=87
GROUP n=4 d=1 k=77 order=768 cyclic=false affine_classes=56 ms=38
GROUP n=4 d=1 k=78 order=192 cyclic=false affine_classes=60 ms=61
GROUP n=4 d=1 k=79 order=192 cyclic=false affine_classes=48 ms=47
GROUP n=4 d=1 k=80 order=96 cyclic=false affine_classes=69 ms=41
GROUP n=4 d=1 k=81 order=192 cyclic=false affine_classes=40 ms=53
GROUP n=4 d=1 k=82 order=1536 cyclic=false affine_classes=76 ms=52
GROUP n=4 d=1 k=83 order=1536 cyclic=false affine_classes=64 ms=58
GROUP n=4 d=1 k=84 order=384 cyclic=false affine_classes=75 ms=69
GROUP n=4 d=1 k=85 order=384 cyclic=false affine_classes=66 ms=75
GROUP n=4 d=1 k=86 order=384 cyclic=false affine_classes=60 ms=67
GROUP n=4 d=1 k=87 order=384 cyclic=false affine_classes=51 ms=70
GROUP n=4 d=1 k=88 order=192 cyclic=false affine_classes=93 ms=60
GROUP n=4 d=1 k=89 order=192 cyclic=false affine_classes=63 ms=45
GROUP n=4 d=1 k=90 order=192 cyclic=false affine_classes=51 ms=47
GROUP n=4 d=1 k=91 order=192 cyclic=false affine_classes=45 ms=52
GROUP n=4 d=1 k=92 order=512 cyclic=false affine_classes=98 ms=98
GROUP n=4 d=1 k=93 order=512 cyclic=false affine_classes=92 ms=84
GROUP n=4 d=1 k=94 order=512 cyclic=false affine_classes=80 ms=89
GROUP n=4 d=1 k=95 order=512 cyclic=false affine_classes=92 ms=95
GROUP n=4 d=1 k=96 order=512 cyclic=false affine_classes=80 ms=89
GROUP n=4 d=1 k=97 order=512 cyclic=false affine_classes=80 ms=90
GROUP n=4 d=1 k=98 order=128 cyclic=false affine_classes=59 ms=54
GROUP n=4 d=1 k=99 order=128 cyclic=false affine_classes=68 ms=63
GROUP n=4 d=1 k=100 order=64 cyclic=false affine_classes=76 ms=47
GROUP n=4 d=1 k=101 order=64 cyclic=false affine_classes=70 ms=52
GROUP n=4 d=1 k=102 order=64 cyclic=false affine_classes=46 ms=42
GROUP n=4 d=1 k=103 order=64 cyclic=false affine_classes=58 ms=44
GROUP n=4 d=1 k=104 order=64 cyclic=false affine_classes=52 ms=53
GROUP n=4 d=1 k=105 order=128 cyclic=false affine_classes=56 ms=51
GROUP n=4 d=1 k=106 order=256 cyclic=false affine_classes=88 ms=79
GROUP n=4 d=1 k=107 order=256 cyclic=false affine_classes=88 ms=83
GROUP n=4 d=1 k=108 order=256 cyclic=false affine_classes=64 ms=73
GROUP n=4 d=1 k=109 order=256 cyclic=false affine_classes=64 ms=74
GROUP n=4 d=1 k=110 order=256 cyclic=false affine_classes=70 ms=68
GROUP n=4 d=1 k=111 order=256 cyclic=false affine_classes=58 ms=71
GROUP n=4 d=1 k=112 order=512 cyclic=false affine_classes=86 ms=86
GROUP n=4 d=1 k=113 order=512 cyclic=false affine_classes=80 ms=86
GROUP n=4 d=1 k=114 order=256 cyclic=false affine_classes=73 ms=71
GROUP n=4 d=1 k=115 order=256 cyclic=false affine_classes=64 ms=69
GROUP n=4 d=1 k=116 order=256 cyclic=false affine_classes=70 ms=79
GROUP n=4 d=1 k=117 order=256 cyclic=false affine_classes=76 ms=81
GROUP n=4 d=1 k=118 order=256 cyclic=false affine_classes=64 ms=73
GROUP n=4 d=1 k=119 order=32 cyclic=false affine_classes=59 ms=39
GROUP n=4 d=1 k=120 order=256 cyclic=false affine_classes=64 ms=69
GROUP n=4 d=1 k=121 order=256 cyclic=false affine_classes=61 ms=71
GROUP n=4 d=1 k=122 order=64 cyclic=false affine_classes=40 ms=42
GROUP n=4 d=1 k=123 order=128 cyclic=false affine_classes=50 ms=51
GROUP n=4 d=1 k=124 order=128 cyclic=false affine_classes=44 ms=50
GROUP n=4 d=1 k=125 order=32 cyclic=false affine_classes=59 ms=47
GROUP n=4 d=1 k=126 order=32 cyclic=false affine_classes=35 ms=43
GROUP n=4 d=1 k=127 order=32 cyclic=false affine_classes=68 ms=46
GROUP n=4 d=1 k=128 order=32 cyclic=false affine_classes=44 ms=35
GROUP n=4 d=1 k=129 order=64 cyclic=false affine_classes=46 ms=57
GROUP n=4 d=1 k=130 order=64 cyclic=false affine_classes=52 ms=58
GROUP n=4 d=1 k=131 order=64 cyclic=false affine_classes=46 ms=50
GROUP n=4 d=1 k=132 order=96 cyclic=false affine_classes=44 ms=42
GROUP n=4 d=1 k=133 order=48 cyclic=false affine_classes=55 ms=32
GROUP n=4 d=1 k=134 order=48 cyclic=false affine_classes=37 ms=33
GROUP n=4 d=1 k=135 order=64 cyclic=false affine_classes=40 ms=49
GROUP n=4 d=1 k=136 order=64 cyclic=false affine_classes=34 ms=44
GROUP n=4 d=1 k=137 order=128 cyclic=false affine_classes=56 ms=61
GROUP n=4 d=1 k=138 order=128 cyclic=false affine_classes=44 ms=57
GROUP n=4 d=1 k=139 order=128 cyclic=false affine_classes=44 ms=55
GROUP n=4 d=1 k=140 order=128 cyclic=false affine_classes=47 ms=55
GROUP n=4 d=1 k=141 order=128 cyclic=false affine_classes=53 ms=57
GROUP n=4 d=1 k=142 order=64 cyclic=false affine_classes=37 ms=49
you can 'quit;' to quit to outer loop, or
you can 'return;' to continue
[1m[31m[0m[31m
