     ● G  GAP 4.16.1 of 2026-08-23
  ● ●  A  https://www.gap-system.org
     ● P  Architecture: x86_64-pc-linux-gnu-default64-kv11
 Configuration:  gmp 6.3.0, GASMAN, readline
 Loading the library and packages ...
 Packages:   AClib 1.4, Alnuth 4.0.2, AtlasRep 2.1.12, AutoDoc 2026.06.30, 
             AutPGrp 1.12.0, Browse 1.8.23, CaratInterface 2.3.11, 
             CRISP 1.4.11, Cryst 4.1.32, CrystCat 1.1.13, CTblLib 1.3.11, 
             FactInt 1.7.0, FGA 1.5.0, Forms 1.3.0, GAPDoc 1.6.10, 
             genss 1.6.10, IO 4.10.0, IRREDSOL 1.4.6, LAGUNA 3.10.1, 
             orb 5.1.0, PackageManager 1.6.4, Polenta 1.3.11, Polycyclic 2.18, 
             PrimGrp 4.0.3, RadiRoot 2.10, recog 1.5.1, ResClasses 4.7.4, 
             SmallGrp 1.7.0, Sophus 1.27, SpinSym 1.5.2, StandardFF 1.0, 
             TomLib 1.2.11, TransGrp 3.6.5, utils 0.98
 Try '??help' for help. See also '?copyright', '?cite' and '?authors'
BEGIN dimension=5 field=5
GROUP n=6 d=1 k=55 order=24576 cyclic=false affine_classes=524 ms=461
GROUP n=6 d=1 k=56 order=12288 cyclic=false affine_classes=728 ms=498
GROUP n=6 d=1 k=57 order=6144 cyclic=false affine_classes=568 ms=462
GROUP n=6 d=1 k=58 order=6144 cyclic=false affine_classes=475 ms=322
GROUP n=6 d=1 k=59 order=6144 cyclic=false affine_classes=472 ms=320
GROUP n=6 d=1 k=60 order=6144 cyclic=false affine_classes=451 ms=302
GROUP n=6 d=1 k=61 order=24576 cyclic=false affine_classes=740 ms=569
GROUP n=6 d=1 k=62 order=24576 cyclic=false affine_classes=697 ms=622
GROUP n=6 d=1 k=63 order=12288 cyclic=false affine_classes=640 ms=439
GROUP n=6 d=1 k=64 order=12288 cyclic=false affine_classes=446 ms=367
GROUP n=6 d=1 k=65 order=12288 cyclic=false affine_classes=592 ms=459
GROUP n=6 d=1 k=66 order=12288 cyclic=false affine_classes=431 ms=384
GROUP n=6 d=1 k=67 order=24576 cyclic=false affine_classes=548 ms=465
GROUP n=6 d=1 k=68 order=24576 cyclic=false affine_classes=475 ms=520
